scenario,time_min,tumor_cell_count,cumulative_phagocytosis_events,mean_ecm_density
HER2_low,37.5,51,17,0.42599
HER2_low,38.0,51,17,0.42578
HER2_low,38.5,51,17,0.42557
HER2_low,39.0,51,17,0.42535
HER2_low,39.5,50,18,0.42514
HER2_low,40.0,49,19,0.42493
no_CD47_block,0.5,25,0,0.44205
no_CD47_block,1.0,25,0,0.44183
no_CD47_block,1.5,25,0,0.44161
no_CD47_block,2.0,25,0,0.44139
no_CD47_block,2.5,26,0,0.44117
no_CD47_block,3.0,26,0,0.44095
no_CD47_block,3.5,26,0,0.44073
no_CD47_block,4.0,26,0,0.44051
no_CD47_block,4.5,26,0,0.44029
no_CD47_block,5.0,26,0,0.44007
no_CD47_block,5.5,26,0,0.43985
no_CD47_block,6.0,26,0,0.43963
no_CD47_block,6.5,27,0,0.43941
no_CD47_block,7.0,27,0,0.43919
no_CD47_block,7.5,26,1,0.43897
no_CD47_block,8.0,27,1,0.43875
no_CD47_block,8.5,28,1,0.43853
no_CD47_block,9.0,28,1,0.43831
no_CD47_block,9.5,28,1,0.43809
no_CD47_block,10.0,28,1,0.43787
no_CD47_block,10.5,29,1,0.43765
no_CD47_block,11.0,29,1,0.43743
no_CD47_block,11.5,30,1,0.43721
no_CD47_block,12.0,30,1,0.437
no_CD47_block,12.5,29,2,0.43678
no_CD47_block,13.0,29,2,0.43656
no_CD47_block,13.5,29,3,0.43634
no_CD47_block,14.0,29,4,0.43612
no_CD47_block,14.5,30,4,0.4359
no_CD47_block,15.0,31,4,0.43569
no_CD47_block,15.5,31,5,0.43547
no_CD47_block,16.0,32,5,0.43525
no_CD47_block,16.5,32,5,0.43503
no_CD47_block,17.0,33,5,0.43482
no_CD47_block,17.5,34,5,0.4346
no_CD47_block,18.0,35,6,0.43438
no_CD47_block,18.5,34,7,0.43416
no_CD47_block,19,34,7,0.43395
no_CD47_block,19.5,34,7,0.43373
no_CD47_block,20.0,34,7,0.43351
no_CD47_block,20.5,35,7,0.4333
no_CD47_block,21.0,36,7,0.43308
no_CD47_block,21.5,35,9,0.43286
no_CD47_block,22.0,35,10,0.43265
no_CD47_block,22.5,34,11,0.43243
no_CD47_block,23.0,34,11,0.43221
no_CD47_block,23.5,35,11,0.432
no_CD47_block,24.0,38,11,0.43178
no_CD47_block,24.5,39,11,0.43157
no_CD47_block,25.0,39,11,0.43135
no_CD47_block,25.5,41,11,0.43114
no_CD47_block,26.0,42,11,0.43092
no_CD47_block,26.5,42,12,0.4307
no_CD47_block,27.0,43,13,0.43049
no_CD47_block,27.5,43,13,0.43027
no_CD47_block,28.0,42,14,0.43006
no_CD47_block,28.5,42,15,0.42984
no_CD47_block,29.0,42,15,0.42963
no_CD47_block,29.5,43,15,0.42941
no_CD47_block,30.0,45,15,0.4292
no_CD47_block,30.5,46,15,0.42898
no_CD47_block,31.0,47,15,0.42877
no_CD47_block,31.5,47,15,0.42856
no_CD47_block,32.0,48,15,0.42834
no_CD47_block,32.5,48,15,0.42813
no_CD47_block,33.0,48,15,0.42791
no_CD47_block,33.5,48,15,0.4277
no_CD47_block,34.0,47,16,0.42749
no_CD47_block,34.5,48,16,0.42727
no_CD47_block,35.0,48,16,0.42706
no_CD47_block,35.5,49,16,0.42685
no_CD47_block,36.0,48,17,0.42663
no_CD47_block,36.5,49,17,0.42642
no_CD47_block,37.0,50,17,0.42621
no_CD47_block,37.5,50,17,0.42599
no_CD47_block,38.0,50,17,0.42578
no_CD47_block,38.5,50,18,0.42557
no_CD47_block,39.0,51,18,0.42535
no_CD47_block,39.5,51,18,0.42514
no_CD47_block,40.0,50,19,0.42493
high_TGFb,0.5,25,0,0.44205
high_TGFb,1.0,25,0,0.44183
high_TGFb,1.5,25,0,0.44161
high_TGFb,2.0,25,0,0.44139
high_TGFb,2.5,25,0,0.44117
high_TGFb,3.0,25,0,0.44095
high_TGFb,3.5,25,0,0.44073
high_TGFb,4.0,25,0,0.44051
high_TGFb,4.5,25,0,0.44029
high_TGFb,5.0,25,0,0.44007
high_TGFb,5.5,25,0,0.43985
high_TGFb,6.0,27,0,0.43963
high_TGFb,6.5,28,0,0.43941
high_TGFb,7.0,28,0,0.43919
high_TGFb,7.5,28,1,0.43897
high_TGFb,8.0,28,1,0.43875
high_TGFb,8.5,31,1,0.43853
high_TGFb,9.0,31,1,0.43831
high_TGFb,9.5,32,1,0.43809
high_TGFb,10.0,33,1,0.43787
high_TGFb,10.5,33,1,0.43765
high_TGFb,11.0,33,1,0.43743
high_TGFb,11.5,32,2,0.43721
high_TGFb,12.0,32,2,0.437
high_TGFb,12.5,31,3,0.43678
high_TGFb,13.0,31,3,0.43656
high_TGFb,13.5,31,4,0.43634
high_TGFb,14.0,30,5,0.43612
